entity,year,fertilizer_kg_per_ha
Brazil,2002,120.8408396
Brazil,2003,152.3052418
Brazil,2004,150.9459511
Brazil,2005,120.1003514
Brazil,2006,124.0318675
Brazil,2007,165.1697374
Brazil,2008,141.838605
Brazil,2009,118.2567433
Brazil,2010,156.1898725
Brazil,2011,183.014805
Brazil,2012,181.7328081
Brazil,2013,175.6601467
Brazil,2014,175.1958959
